,name,rating,reviews,type of Company,headQuarter,Age of Company,Employees
0,TCS,3.9,(27k Reviews),Public,"Mumbai,Maharashtra + 206 more",54 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(20.8k Reviews),Public,"Dublin,Dublin + 120 more",33 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(19k Reviews),Private,"Teaneck,New Jersey + 72 more",28 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(18.6k Reviews),Public,"Mumbai,Maharashtra + 900 more",28 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(16.4k Reviews),Public,"Mumbai,Maharashtra + 968 more",28 years old,1 Lakh+ employees (India)
5,Wipro,3.8,(15.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 220 more",77 years old,1 Lakh+ employees (India)
6,Capgemini,3.7,(14.3k Reviews),Public,Paris + 61 more,55 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(13.9k Reviews),Public,"Noida,Uttar Pradesh + 137 more",46 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(13.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 99 more",41 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.6,(13k Reviews),Public,"Pune,Maharashtra + 138 more",36 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(12.1k Reviews),Private,"New York,New York + 49 more",25 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 875 more",29 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.4k Reviews),Public,"Gandhinagar,Gujrat + 506 more",4 years old,10k-50k employees (India)
13,L&T,4.0,(11.2k Reviews),Public,"Mumbai,Maharashtra + 434 more",84 years old,10k-50k employees (India)
14,Reliance jio,4.0,(11.1k Reviews),Public,"Navi Mumbai,Maharashtra + 791 more",15 years old,10k-50k employees (India)
15,IBM,4.1,(10.9k Reviews),Public,New York + 99 more,111 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(10.6k Reviews),Public,"Fremont,California + 52 more",39 years old,10k-50k employees (India)
17,Amazon,4.2,(9.7k Reviews),Private,"Seattle,Washington + 272 more",18 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(9.6k Reviews),Private,"Ahmedabad,Gujrat + 629 more",15 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.8,(7.5k Reviews),Public,"Mumbai,Maharashtra + 410 more",19 years old,10k-50k employees (India)
20,Tata Motors,4.1,(7.3k Reviews),Public,"Pune,Maharashtra + 344 more",77 years old,50k-1 Lakh employees (India)
21,Teleperformance,3.6,(7.2k Reviews),Private,Paris + 88 more,44 years old,50k-1 Lakh employees (India)
22,Bharti Airtel,4.1,(7.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 413 more",27 years old,5k-10k employees (India)
23,Reliance Industrie...,4.0,(6.7k Reviews),Public,"Navi Mumbai,Maharashtra + 327 more",49 years old,1 Lakh+ employees (India)
24,Deloitte,3.9,(5.6k Reviews),Private,"New York,New York + 99 more",177 years old,10k-50k employees (India)
